Name,RatingValue,DatePublished,Review
Lee Chen Asian Bistro,4,2019-11-01,"First glance of the clientele was a solid sign it would be authentic stuff.  The food was very good! I didn't think it was that ""pricey"" till you think about how inexpensive authentic Dim sum food can generally be. And the bill wasn't what many other reviewers are probably used to. I think still worth it for the most part. 

The crystal pork belly was great. The thick noodles in the fried Shanghai noodles where delicious and greasy. The soup dumplings were good, but I think these miss the value to price point the most. 

I would definitely come back. Just be aware it is business district prices."
Nodo Restaurant,5,2018-06-24,"The "" U Chiurito"" pizza will be the reason I return to Nodo. After visiting Sicily last summer, pistachio on pizza was something I constantly came across, so to find this in Toronto was more than I could have ever hoped for!

The texture of the Brussels sprouts along with the cheese, pistachio and arugula pesto make this pizza fresh, meaty (without meat!) and eating every last bite. The warm olives, the burrata, the coccoli - this place does not disappoint.

Service, ambiance, food are all on point at both locations. I would highly recommend it!"
Tacos El Asador,5,2019-09-03,"Great, authentic Mexican restaurant with a la carte menu items. Order one taco (or quesadilla or burrito or enchilada) or 50. Food came out very quickly and was amazing!

Warning: CASH ONLY!"
Khao San Road,4,2019-10-26,"Was in Toronto was a business meeting and one of my favorite foods in the city is Thai food. New York doesn't even come close to the amazing quality of Thai food you get here!

I got the Garlic Chicken ($12.50) as appetizers. An absolutely amazing dish and I definitely recommend it. Most tables were ordering it, so you won't go wrong with this one!

For mains, I got the Green Curry with Chicken ($17.50) with a spice level of 3. The spice level was good and my dish had a nice kick to it. The green curry with coconut milk was amazing too!

Service was good and food arrived within 20 minutes of ordering. Music was a little too loud to my liking, but the restaurant realized it eventually and reduced the volume!"
Good Hombres,5,2018-11-17,"Good Hombres serve elevated tacos that bring sentiments of great, authentic Mexican food. Prepared with care and attention, this delicious meal is perfectly true in every way. On the northwest side of Dundas and Bathurst (look for the TACOS TACOS TACOS window), there is a little mystic tortilla-making machine that sends fresh, perfectly perfect tortillas onto a conveyor belt - made on demand. 

When you enter the modern, casual, grab-and-go, airy taco joint, you're greeted by colours of blue and yellow, stainless steel, and bar seating that lines the spacious frontline kitchen where you see the magic happen. The taco menu is diverse but everything is delicious. $3.75 per taco. Order 4 if you're hungry, 2-3 for a snack. The only seating is by the kitchen where there are condiments of pickled vegetables and a delicious ""salsa macha"" from Veracruz which is prepared with oil, chili and garlic. It's absolutely divine when drizzled on the tacos.

Their staple tacos, illustrated on a hand-written chalkboard menu, are colourful, whimsical creations that tickle your palate in flavours that are true to the history of the Mexican tortilla, and are served on fun bright vibrant plates:

1. Pastor: PORK shoulder, salsa macha, pineapple

2. Carne Asada: STRIPLOIN, salsa verde (green sauce)

3. Pescado: HADDOCK, lettuce, chipotle

4. Pollo Asado: CHICKEN thighs, salsa macha

5. Tinga de Pollo: CHICKEN breast, tomato, chipotle

6. Rajas Poblanas: roast poblano PEPPERS (a mild chili pepper from Puebla, Mexico), cotija (a hard cow's milk cheese from Mexico)

7. Chiles Toreados: shishito PEPPERS (a sweet, East Asian variety), black beans, salsa roja (red sauce)

8. Costillitas de Res: BEEF short ribs, salsa roja

9. Lengua: TONGUE, salsa macha, salsa verde

We had the tacos with haddock, beef short ribs, chicken tinga and tongue, and they were all flavourful bursts of juicy deliciousness; light and carefully crafted that looked so much fun to eat. It tastes like lots of time, effort, and love were folded in as the main ingredients in this timeless, traditional Mexican dish. We wanted to try them all-and we most definitely will next time (and as much as our waistline allows!).

On the menu, there's also:
- Quesadillas: $6
- Drinks: $2-3
- Masa (dough made from corn flour; used to make tortillas): $10/kg
- Tortillas: $14/kg

As a downtown Toronto Yelper, Good Hombres is midway between Dundas and Ossington (hipster mecca) and Chinatown (dim-sum heaven) and across the street from Toronto Western Hospital. But more importantly, it's a new taqueria that is worth coming back time after time for authentic, juicy, flavourful tacos that are a joy to eat. -Tell them Will and Justin from Yelp sent you here and wear your stretchiest pants, your belly will thank you. 

goodhombres.ca
(416) 862-0425
374 Bathurst Street
Toronto, ON M5T 2S6
@goodhombres_to
Tues - Sat 11:30 am - 3:00 pm / 4:30 - 9:00 pm"
House of Gourmet,3,2019-10-08,"Spontaneous craving for Chinese food but wanting to give other restaurants a chance in Chinatown led me to House of Gourmet. 

Portions are on the smaller side and they were decent enough to satisfy cravings. Wasn't much of a wow factor in my opinion. Ordered Yeung Chow fried rice, sweet and sour pork, beef soya sauce noodles, turnip cakes and snow peas for a group of 4. Topped it off with a iced lemon tea each."
Hacienda las Américas,1,2019-10-25,"Food was awful - worst tacos I've had in my entire life - the meat tasted funky like it had gone bad and was burnt. The rice was bland with zero seasoning. They never even brought out the app we asked for (but they did try to charge us for it). I have no idea how this place has so many high ratings, the only positive is the food is cheap (although even at this price point it's not worth it). Even the mojito was subpar.

Stay home and make your own - it'll probably taste like a Michelin restaurant in comparison."
Ristorante Sotto Sotto,5,2018-11-05,"Some of the best gnocchi I've ever had (and I'm a gnocchi connoisseur). Perfect portion size, still had room for dick after dinner."
Terroni,4,2019-09-03,"One of my favourite Italians in the city and not just for the food, this location is great for a meal out due to its ambience and the setting in such a historic, classic building - really adds to the experience!

Not to brag but being greedy I had a pizza, pasta and salad last time I went and all were great with fresh ingredients and the salad in particular was really refreshing sandwiched in between my carb medley!

Very good wine selection too.

PS - it you go on a date and it's rubbish they have jail cells underground sooo....."
Artisan Plus,3,2019-09-03,"So much hype we had to stop by and try it out. This place is newish to me located near Dundas and Bay and I've seen it being renovated months ago and thought the interior was really hip and modern looking. This is a noodle place that serves Northern Chinese style, the menu is very simple and don't have too many different things clouding your mind on what to eat. 

We ordered the Artisan Pork Jia Mo, and Shuan Tofu Sheet for starters. The pork Jia Mo is chopped braised pork belly with gravy served in a handcrafted artisan bread, this was not bad but flavour was slightly weak in my opinion. The tofu sheets are made from fresh sheets, this dish is served cold and almost like a salad with shredded peppers, bean sprouts, scallions, chilli, chilli oil, Sichuan pepper corns, and sesame oil. I found that the flavour is good not too much numbing spice and not too spicy but boy it did have tons of oil. 

For mains we ordered their Famous YoPo Biang Mian and the Wok Cumin Che Mian with Spring Lamb. the Biang mian has a lot going on with sauteed tomato, scrambled eggs, cauliflower, potato, carrot, woodear mushrooms, zucchini, edamame beans, paprika, and vinaigrette sitting under all these ingredients are some ribbon noodles which were slightly too long. I thought that this dish was a mixed with way too many things and the flavour got lost way too busy. The Wok Cumin Che Mian with Spring Lamb was better and the lamb wasn't gamy but I wish there was more slices of lamb. This dish I found was a little small for the price. 

Service was great our server was very knowledgeable about their product. She kept our water carafe topped with water. The food comes out very quick and displayed nicely. When it came time to pay the bill was ready and the server came with a debit machine as well. Be prepared to bring cash with you as this place is cash or debit only.

I will be back to try some soup noodles next time. Hopefully it will change my mind and get a better rating."
Grazie Ristorante,5,2019-11-16,"I absolutely love this place! I've been a whole 3 times. I've had the tasca twice, definitely a favourite! It's essentially a giant ravioli, filed with brie, mushrooms and spinach. Smothered in a rich rose sauce. It's huge and amazingly delicious. I went today and had the salmon pasta (forgot the name), and as usual simply amazing! The service is also outstanding. I've had Jordan twice, he's very friendly and efficient and definitely makes the experience! I don't usually leave my area for food, but Grazie is always worth the subway trip!"
El Charro,2,2020-04-18,"I added this to my list based on good Yelp reviews. We ordered a takeaway - burrito, quesadilla and corn chips. Overall the food was not fresh, the burrito was average and quesadilla lacked any flavor. Corn chips were overly salty and guac was not fresh. I will try again..."
Baretto Caffe,5,2020-04-09,"Amazing, family-owned caffe. The people, food, drink, ambience are all great!
Prosciutto, veggie and chicken paninis are my favourite lunch at Baretto. 
Order, takeout and enjoy soon!"
Grazie Ristorante,5,2019-12-04,"I've been to Grazie multiple time, and it's definitely one of my favorite Italian restaurant in the area. I always get their pizza (all the ones I tried so far have been very delicious), but my girlfriend likes to get their pasta. 

It's one of our go-to places whenever we're near the area. There are times when they get really busy (usually weekend dinner), so try to make reservations if you can. I believe they take reservations on weekends before 6pm."
Tacos El Asador,1,2020-04-24,"Ordered beef burrito and pork pupusas through ubereats.
Started with the burrito which was bland and barely any beef/protein. I couldn't even finish the burrito because it was so bad and I decided to try the pupusas.
It was hard by the time I got to it. Think twice before ordering..."
Magical Taste of China,2,2020-01-27,"I came here with a group of friends and I have to say I wasn't very impressed.

It took us a long time to even get enough menus that we could share. The menus are confusing as there is a large place-mat like sheet you can use, or the menu book with pictures.

Then they tried to sell us a membership. Really? A membership? When I looked at the menu again there are 2 different prices. The cheaper one is the membership price and is of course brighter and more prominent than the higher non-member price. 

We ordered a variety of items and they were all meh. A few items we had to ask for again as they were forgotten. 

The staff run around yelling at each other and its really annoying and disturbing. 

When we finished and tried to pay, the waiter tried to split our bill and half way through asking each of us what we ordered he gave up and gave it to another server, so we had to start over again.

I wouldn't go again unless I went with someone with one of these fancy memberships."
Grazie Ristorante,3,2019-03-09,"We came to Grazie for dinner on a Friday evening. It was half empty when we came in (around 4:45), but it was packed by 6pm. Honestly, I expected food to be better based on all the reviews, however it wasn't spectacular food! Service was fine (when it wasn't busy), ambience was traditional but very noisy (perhaps because restaurant is small and packed with people). 

I don't know if I'll return to try again as would like to explore other restaurants around."
Sichuan Garden Restaurant,4,2017-09-13,"Still one of my favorite original Chinatown establishments. I love the staff here - all bilingual and super friendly and treats you like family, especially if you speak Mandarin ;) Whenever I get cravings for traditional Chinese vegetarian dishes like lotus root, Chinese mushroom and fungus, mapo tofu, etc I come here. I also come here when I feel ""heritage-sick"" and need to reconnect with people who remind me of my family. Many customers here are regulars and know the staff personally. 

They will make all sorts of accommodations for dietary restrictions or special diets, such as vegan/vegetarian, e.g. mapo tofu usually is made with meat so remember to tell them at the beginning that you are vegetarian. 

Downsides are that they put way too much cornstarch, salt, and MSG in all of the mains. I definitely don't recommend the ""Bamboo shoots with Chinese mushrooms"" dish as everything was literally swimming in a broth of corn starch and the bamboo shoot was a bit stinky (as it should be, but just note that it is an acquired taste). I recommend the mapo tofu - it isn't that spicy at all! Also recommend the mixed vegetable stirfry, which contains Chinese black fungus (so yummy and crunchy!) and lotus root. This one has less corn starch and is on the lighter side.

Prices are low - most dishes are under $10 - and portion sizes are large. Rice/carbs do not come automatically with main dishes, so you do have to order these separately.

They accept card as well as cash.

Will be back!"
House of Gourmet,1,2019-05-27,"This is my first and last time trying this place, here is why:
1. Service: I get it, lots of people come here for food, lineup is long, and not that many waiters, but when I was trying to order food, the server was literally so impatient that he kept tapping his fingers on the table loudly, I spent like 2 minutes thinking and he made me feel like I was wasting his time. This is a big NONO for me.
2. The rice noodle roll around fried dough炸两肠粉: for all the people on yelp who recommended it, I really think u should try more places for this before recommendation. I have never seen people put it in soy sauce, ITS SUPPOSED TO BE CRISPY and u put it in liquid, what is the common sense here? And the bottom layer of it was so soggy I didn't even know what I was eatin, mush or food. Then I took a bite of the top layer rolls which did not touch any of the sauce, the fried dough was so soggy and soft and then I suddenly understood why they had to put sauce on it ---- to cover the fact that they don't even know how to make this dish. DO NOT ORDER.
3. Two meat combo rice - roasted pork and roasted duck. When we asked them about the roasted pork, waiter said ""it's crispy"", it WAS 100% NOT CRISPY. I don't understand how do they expect people to pay for dishes with this low quality, I really don't get it.

I can find at least 3 restaurants which costs much less in Chinatown and still beats this place in every aspects, so if I were u, I would avoid it for life."
Lai Wah Heen,3,2019-07-26,"Came to Lai Wah Heen with my family to try out their peking duck as I had received a coupon for a free order. Growing up in Scarborough and being completely surrounded by Chinese restaurants, and being Chinese myself, I've had my fair share of Chinese cuisine. Upon arrival, I knew right away it would be a different vibe as it was located inside a hotel and everything looked fairly nice. 

The staff was helpful and polite though a bit stiff. Nonetheless our order was accurate and the tea was always filled. We had dinner on a Tuesday night so it wasn't overly busy but there were some larger parties dining.

On to the food: so as I said, I'm Chinese and have grown up around eating this food in and outside of the house. We ordered about 9 dishes for 7 people including peking duck, stir-fried beef flavoured with aged mandarin peel, sweet and sour pork w/ lychee, gailon vegetables, pineapple chicken fried rice, soy sauce fried rice noodle with beef and fried chicken. First impressions, the food looked nice but was pretty small portions and cost a pretty penny more than what you get uptown. Not surprising with this being a downtown hotel restaurant. The taste though was really really good. Everything was delicious and had lots of flavour. Presentation was pretty and at the end we ordered enough to feel full though not without a price. 

Overall, the food was delicious, the service was good but price for the amount of food was just a bit too much for myself. They are other options out there for upscale Chinese food that might possibly be less expensive and closer to my neck of the woods."
Buca Yorkville,2,2019-10-18,"We ordered three pasta dishes all of them were mediocre; lobster, vongole and octopus. Lacking flavor and pasta overcooked. Very skimpy on the seafood. Fail. Never again. Not worth the calories. Very disappointed and I'm a carb/pasta whore."
Magical Taste of China,1,2019-12-15,"Very bad service the servers are so loud and rude .. the food tastes bad and super oily, the chicken is not white meat while they told me it was , the rice had rocks in it that almost broke my tooth and so not clean the whole experience was so bad I wouldn't recommend anyone to go there and on top of that I went back home with food poison and had diarreah .. the worst place ever please watch out"
Lai Wah Heen,5,2018-10-03,"High quality, fancy dining with some of the best dim sum I've had in Toronto. The interior was quite elegant (inside the Double Tree Hotel), service was very attentive, and every single dish was delicious."
La Vecchia Ristorante,2,2019-07-08,It was under cooked noodle and no savory at all in my pasta. Overpriced and it's not worth to paying for it.
Levetto,3,2018-04-15,"This Levetto location is located at Dovercourt and Sudbury, a few minutes away from the busy street of Queen West. I've tried the other Levetto locations before and decided to come back to this particular location as I was in the mood for pasta. I dropped by for lunch on a Thursday; the eatery was quite empty. The pasta I ordered was filing and service was friendly but the food was just forgettable this particular time. I found the pasta to be underwhelming, under seasoned, and overcooked. Unfortunately did not have a good experience here and will not be returning."
House of Gourmet,3,2019-10-11,"Good for assisting in the time of need.....HANGOVERS.

These guys are open and you can order before 4pm unlike some nasty places who don't care about my suffering.

The food is very reasonably priced and pretty good too, a usual is the beef in black bean sauce which is solid and very filling...on the other hand the fried rice dishes are not the greatest and can lack a lot of flavor.

Good place just be sure what your ordering is something powerful in flavor as the more subtle options generally tend to fail."
Fudao noodle house,3,2019-04-13,"Fudao is a standard noodle house that gives really generous portions! 

I was actually expecting it to be more of a dipping noodle situation after seeing the photos but it's actually more of a hot pot since you're supposed to toss in all of the toppings and noodles in your broth immediately before it cools. 

For the price, I think it's a solid spot that will definitely fill you up. The service was just OK. I was surprised that there was a decent amount of seating. If you're visiting, it's not a must but if you're looking for a place to get a substantial amount of food for a good price it's worth trying."
Terroni,1,2020-03-18,"This place is definitely deceiving with all the good reviews. The food is not particularly good and we ordered a great variety of food so we could try a little bit of everything. The service was lacking and the mandatory tip amount is fairly high for big groups which we felt they did not deserve. The free bread they handed out at the beginning was not enough for the amount of people we had. We expected them to give us one per person at least and they did not warn us that we would be charged for it when we asked for more when we realized there was not enough for everyone. When the bills came and we asked about it, the server very rudely said if you just don't want to pay go talk to my manager. A lot of us will never come back to this restaurant."
Dynasty Chinese Cuisine,2,2019-06-24,"We tried this place since it's close to our hotel and shopping places. 
The ambiance was great and place looks clean. But the service needs a lot of work. The hot and sour soup is terribly spicy and no taste. Just the hot spice. So I ordered another soup. The wonton soup. It took them almost 30 minutes to bring my soup out. And likewise no taste and very UN-CHINESE flavor. 
We also asked one waiter about a cocktail mix and he initially gave me the impression that he does not want to be asked about the drinks and the menu. The waiter said I'll get back it's you but he never did come back. Almost All waiters and servers here are very UNFRIENDLY AND NO SMILE at all. Very disappointing place.!!!!"
7 Numbers Restaurant,1,2019-10-25,"Extremely disappointing and mundane. 

Served frozen fish, the lasagna pasta was so overcooked it was actually falling apart and floury. There was not one element of any dishes that I actually enjoyed and while sitting here, I can't wait to leave so I can go to shoppers and get a frozen pizza..."
Baretto Caffe,4,2018-09-12,"Completely hidden from the street as it's located inside a medical building.  Thank you for the Yelper who posted the photo of the actual building!  Otherwise, I would've missed it.  :)

Very, very close to a 5*!  The only reasons why it missed the mark was that the food took sometime after ordering, 20mins+.  And there was a missing ingredient in the Fantasia Salad - corn!  I didn't bother mentioning it 'cause we were soo hungry by the time the food arrived.

If you're looking for a quick meal, this is not the place for you.  Please allow some time to soak in the '80s Italo-Disco music and the owners kind demeanor!

Personally, if it were my first time, I'd order a caffeinated drink (good beans), pasta, pizza, panini, & pastry.  I'd skip the salads.  The Fantasia was good, but it's something that you can make at home.  Latté was smooth and very, very good!

Pasta with rosé sauce was DELICIOUS!  It arrived to the table piping hot and fresh tasting.  If you're not too hungry, it can definitely be shared btw 2 ppl as it also comes with some garlic bread + a side salad.

Owner was very nice, always checking in on us.  She was upbeat and always said, ""with pleasure"" and seemed to mean it!  There were some nice touches like providing us with place mats and glasses of water with ice.  Very warm atmosphere!

Too bad/thank God this place isn't located too close by.  Otherwise, it can be dangerous!"
Nodo Restaurant,3,2018-12-23,"It's ok. It's definitely not 4.5 lol. 

We got the prosciutto and ricotta fritters to start and those were great. Took a little too long to come out but they were redeeming. 

We got the oreciette (sp?) and duck tagliatelle and both fell short in different areas. The duck tagliatelle was definitely missing some flavour notes - probably lacking in aromatics- maybe garlic? Something was missing. The pasta was also way overdone for a restaurant and not al dente at all. It needed a lot more salt- and even though I got piles of parmesan on it, it was still under salted. 

The oreciette to me was the better of the two- the pasta was perfectly al dente and the chilli component made the taste better, but it was still missing something- hard to say what.

The tables adjacent to us seemed to really like their food so maybe it was just us.

We didn't get dessert so I can't speak for that. 

I would maybe come back and try to gnocchi but other than that, nothing really sparked my interest."
Cinco Mexican Restaurant,4,2019-01-20,"Two types of tacos:
Gourmet = two tacos with cheese in middle with loads of stuff inside. About $8 each. I'd say they are better and more complex than the latter, but at $8 is a bit steep.

Street: More simple one tortilla tacos. Still really good and about $4 each.

I'd say in general the tacos are really good. 

The service is quick, though when we were there, there was only one other person so the chef made ours immediately.

The complimentary chips were made on the spot, I saw her frying them while we were there in preparation. Though if you ask for more, it is another $1.50.

The sauces, and get yourself were delicious. I really liked they Mexican mud and the green one, forgot the name."
Enoteca Sociale,2,2019-07-27,I came here and had a short male server with a buzz cut and glasses that was very rude.
Carisma,4,2019-01-09,"I booked a table at Carisma for NYE for a few reasons. First, I wanted something relatively low key since we had to head to the airport early the next morning. Second, I liked that they had their regular menu going on NYE and we weren't going to get a prix fixe meal; I find holiday ones like NYE and Valentine's Day usually disappoint. Third, it was walkable from our hotel, so we didn't have to contend with surge pricing or getting a ride (not sure how hard that is in Toronto, but it's a mess at home).

I'm not sure when the restaurant moved, the interior looks quite different from the pictures I saw in reviews. White tables, teal, velvet seating left it feeling much brighter that the old space. The acoustics aren't great, it was quite loud in the place which detracted from the romantic vibe they seemed to be trying to create.

We started out with cocktails and the burratina appetizer. He got a manhattan and I got an aperol spritz. They split the appetizer for us, which was very nice. The appetizer itself was good, but not outstanding. We had planned to each order an appetizer portion of pasta and a secondi, but our server felt that might be too much food. Instead, we opted to split the gnocchi as our primi, which again came split for us. It was creamy and rich and the gnocchi delicate, but I felt that it would have benefited from a but more salt. For my main, I got the sea bass and boyfriend got the filet. We also split a bottle of valpolicello. My sea bass came over veggies and potatoes and was quite delicious - my favorite of all the things I ate. Boyfriend like his dish, but felt like it had a bit too much char on it. 

For dessert, we had a glass of dessert wine and split the walnut tart. Both were quite good and to cap off a very filling meal, we had a glass of champagne at midnight with those that stuck around to ring in the New Year.

Service was attentive and knowledgeable. My only knock is that the pacing at the beginning of the meal was quite fast. We had barely finished the last bite of burratina when our gnocchi arrived.

Overall, I got what I wanted; a nice low key NYE and a good meal."
Cinco Mexican Restaurant,4,2020-02-03,"I absolutely love little unassuming places like cinco. A great addition to the neighbourhood and a little walk from high park. You know this is a great  place when the food is affordable, tasty and authentic! I love the hot sauce choices. The coziness is real here. The only thing is because it is small, it does fill up fast. I highly recommend if your in and around the Roncesvalles neighbourhood! I throughly enjoyed  the carnita and fish tacos I had! Happy eating!"
Lai Wah Heen,2,2019-05-07,"We came here for Peking Duck around late lunch time and ended up getting dim sum.

Steamed barbecue pork bun: yes! Get this! Flavorful and light. I also enjoyed the pork shrimp and scallop siu mai.

Average items: deep fried mini shrimp ball

Things I didn't care for: deep fried dumpling of Berkshire pork and baby shrimp (tasted like a sesame ball with a filling), baked mini egg tart, steamed soft bun filled with custard, tapioca lychee and mango in chilled sweet soup

DO NOT GET: steamed short spare rib in garlic and toasted garlic. This dish was horrendous! It was slimy!

We weren't too impressed so we left to have another meal around the corner."
Hotopia Downtown,1,2019-08-23,Horrible service. I used Yelp waitlist feature and arrived on time. We stood by the door for 20 minutes and nobody bothered to check on us. All the servers were chatting amongst themselves. No single exchange of words at all with their customers.
KINKA IZAKAYA ORIGINAL,3,2020-03-12,"One of the oldest restaurants that I had been to. Since North York. It's always been a great experience with them! No matter was the lunch hours having great lunch sets and yummy fish; but also the dinner are always pretty impressive. The late snacks are pretty good too! 
Don't forget to try their cocktails if you drink! 
Overall a pretty good experience there although sometimes is too noisy to talk with frds"
Harmoney Chinese Restaurant,3,2018-07-10,"[FOOD] - 3.5/5
I was highly anticipating my lunch here since I rarely find authentic Xian restaurants (Northwestern Chinese cuisine) in Toronto. I ordered Xian dishes such as the Steamed Lamb Pita Soup, the Chinese burger (Stuffed Pita), and the Northwestern Cold Noodles. My favourite item was the pita soup. The broth was just rich and flavourful... it would go great on a cold winter day. The cold noodles were a super refreshing part of the meal. Lastly, the Chinese burger (with lamb filling) was pretty good as well. The outer bun was crispy, not too thick, and quite delicious. 

[SERVICE] - 4/5
Okay, so I only gave 4/5 because my boyfriend speaks Chinese and the lady also speaks Chinese. She was quite nice and accommodating. It would've been nice if they had more than one server and spoke English. My boyfriend had to translate for the table of 14 next to us who could hardly understand the server. 

[OVERALL] - 3/5
While the restaurant can seem demeaning and unfriendly to non-Chinese speakers, it is a great place to go for highly authentic Xian cuisine."
El Catrin Destileria,3,2019-10-19,"Would give the drinks a 4/5. Extremely slow wait (~14 minutes to get our drinks). Also asked to remove agave from one of our drinks and the waiter did not communicate that properly to his bar tender - so we got stuck with agave in one of our drinks even though we asked to remove it. 

Not worth the wait. Take your business elsewhere. Did not try the food so I can't give any insight to that."
